region,dong,gubun,voters,votes,A,B,c1,c2,c3
곡성군,삼기면,관내사전투표,609,608,407,116,20,20,11
곡성군,삼기면,선거일투표,751,351,198,100,17,9,11
곡성군,석곡면,계,1874,1385,837,308,77,49,39
곡성군,석곡면,관내사전투표,912,912,573,177,45,32,26
곡성군,석곡면,선거일투표,962,473,264,131,32,17,13
곡성군,목사동면,계,1055,715,393,243,38,9,8
곡성군,목사동면,관내사전투표,511,511,301,155,22,7,6
곡성군,목사동면,선거일투표,544,204,92,88,16,2,2
곡성군,죽곡면,계,1542,1100,697,257,23,27,13
곡성군,죽곡면,관내사전투표,736,736,492,150,14,14,6
곡성군,죽곡면,선거일투표,806,364,205,107,9,13,7
곡성군,고달면,계,922,665,467,121,17,13,17
곡성군,고달면,관내사전투표,351,351,259,56,5,5,8
곡성군,고달면,선거일투표,571,314,208,65,12,8,9
곡성군,옥과면,계,3659,2559,1787,489,61,74,45
곡성군,옥과면,관내사전투표,1618,1618,1192,263,34,46,16
곡성군,옥과면,선거일투표,2041,941,595,226,27,28,29
곡성군,입면,계,1862,1361,894,264,44,38,48
곡성군,입면,관내사전투표,841,841,557,148,25,21,30
곡성군,입면,선거일투표,1021,520,337,116,19,17,18
곡성군,겸면,계,1289,967,562,246,37,34,26
곡성군,겸면,관내사전투표,556,556,349,118,23,18,14
곡성군,겸면,선거일투표,733,411,213,128,14,16,12
곡성군,오산면,계,1191,814,513,186,25,27,22
곡성군,오산면,관내사전투표,475,475,317,93,15,14,10
곡성군,오산면,선거일투표,716,339,196,93,10,13,12
곡성군,잘못 투입·구분된 투표지,,0,3,3,0,0,0,0
구례군,구례읍,계,7656,5804,4201,904,167,181,150
구례군,구례읍,관내사전투표,3103,3102,2346,390,101,92,81
구례군,구례읍,선거일투표,4553,2702,1855,514,66,89,69
구례군,문척면,계,1326,1060,758,168,36,31,25
구례군,문척면,관내사전투표,691,691,524,92,26,18,11
구례군,문척면,선거일투표,635,369,234,76,10,13,14
구례군,간전면,계,1154,900,609,141,41,38,20
구례군,간전면,관내사전투표,603,602,434,77,23,22,12
구례군,간전면,선거일투표,551,298,175,64,18,16,8
구례군,토지면,계,1943,1454,1012,208,60,44,42
구례군,토지면,관내사전투표,866,866,627,104,36,23,22
구례군,토지면,선거일투표,1077,588,385,104,24,21,20
구례군,마산면,계,2013,1554,1038,254,69,59,43
구례군,마산면,관내사전투표,976,975,686,127,43,38,23
구례군,마산면,선거일투표,1037,579,352,127,26,21,20
구례군,광의면,계,1796,1339,978,183,48,44,26
구례군,광의면,관내사전투표,760,760,571,93,25,23,15
구례군,광의면,선거일투표,1036,579,407,90,23,21,11
구례군,용방면,계,1068,815,566,120,36,23,32
구례군,용방면,관내사전투표,494,494,356,59,24,17,10
구례군,용방면,선거일투표,574,321,210,61,12,6,22
구례군,산동면,계,2297,1685,1220,219,57,54,54
구례군,산동면,관내사전투표,881,881,686,75,25,31,24
구례군,산동면,선거일투표,1416,804,534,144,32,23,30
구례군,잘못 투입·구분된 투표지,,0,4,1,1,0,1,1
고흥군,고흥읍,계,9361,5801,4659,620,107,161,94
고흥군,고흥읍,관내사전투표,3554,3553,2956,306,63,92,45
고흥군,고흥읍,선거일투표,5807,2248,1703,314,44,69,49
고흥군,도양읍,계,8603,5819,4693,539,80,150,114
고흥군,도양읍,관내사전투표,3556,3555,2982,236,42,89,57
고흥군,도양읍,선거일투표,5047,2264,1711,303,38,61,57
고흥군,풍양면,계,2539,1938,1560,157,21,32,24
고흥군,풍양면,관내사전투표,1155,1155,946,73,7,17,11
고흥군,풍양면,선거일투표,1384,783,614,84,14,15,13
고흥군,도덕면,계,2315,1674,1355,128,15,37,26
고흥군,도덕면,관내사전투표,1090,1090,893,60,7,26,14
고흥군,도덕면,선거일투표,1225,584,462,68,8,11,12
고흥군,금산면,계,3447,2563,1937,203,74,67,53
고흥군,금산면,관내사전투표,1828,1827,1401,120,55,39,31
고흥군,금산면,선거일투표,1619,736,536,83,19,28,22
고흥군,도화면,계,3222,2401,1987,188,22,43,38
고흥군,도화면,관내사전투표,1768,1768,1479,117,13,30,27
고흥군,도화면,선거일투표,1454,633,508,71,9,13,11
고흥군,포두면,계,3819,2690,2164,251,46,53,39
고흥군,포두면,관내사전투표,1508,1508,1263,99,24,26,23
고흥군,포두면,선거일투표,2311,1182,901,152,22,27,16
고흥군,봉래면,계,1516,1094,870,121,15,19,16
고흥군,봉래면,관내사전투표,807,807,643,80,15,12,12
고흥군,봉래면,선거일투표,709,287,227,41,0,7,4
고흥군,동일면,계,1230,923,731,84,7,21,18
고흥군,동일면,관내사전투표,706,706,579,47,3,16,7
고흥군,동일면,선거일투표,524,217,152,37,4,5,11
고흥군,점암면,계,2136,1424,1130,129,32,31,24
고흥군,점암면,관내사전투표,874,874,716,58,18,17,19
고흥군,점암면,선거일투표,1262,550,414,71,14,14,5
고흥군,영남면,계,1015,727,580,68,9,13,15
고흥군,영남면,관내사전투표,455,455,377,32,7,4,5
고흥군,영남면,선거일투표,560,272,203,36,2,9,10
고흥군,과역면,계,2673,2046,1542,203,51,56,57
고흥군,과역면,관내사전투표,1506,1506,1183,116,32,33,36
고흥군,과역면,선거일투표,1167,540,359,87,19,23,21
고흥군,남양면,계,1752,1270,972,137,32,26,36
고흥군,남양면,관내사전투표,711,711,558,68,10,14,16
고흥군,남양면,선거일투표,1041,559,414,69,22,12,20
고흥군,동강면,계,2594,1849,1416,192,45,52,33
고흥군,동강면,관내사전투표,1189,1189,926,104,33,29,21
고흥군,동강면,선거일투표,1405,660,490,88,12,23,12
고흥군,대서면,계,1797,1329,1008,153,37,33,17
고흥군,대서면,관내사전투표,990,990,766,97,27,21,11
고흥군,대서면,선거일투표,807,339,242,56,10,12,6
고흥군,두원면,계,2478,1687,1325,166,38,37,27
고흥군,두원면,관내사전투표,1118,1118,903,84,23,22,17
고흥군,두원면,선거일투표,1360,569,422,82,15,15,10
고흥군,잘못 투입·구분된 투표지,,0,3,2,0,0,0,0
보성군,보성읍,계,6672,5049,3747,636,127,188,118
보성군,보성읍,관내사전투표,3135,3135,2408,321,82,108,66
보성군,보성읍,선거일투표,3537,1914,1339,315,45,80,52
보성군,벌교읍,계,8931,6201,4675,747,208,157,127
보성군,벌교읍,관내사전투표,3180,3180,2500,313,85,76,59
보성군,벌교읍,선거일투표,5751,3021,2175,434,123,81,68
보성군,노동면,계,889,684,496,70,41,23,17
보성군,노동면,관내사전투표,476,476,356,42,24,14,10
보성군,노동면,선거일투표,413,208,140,28,17,9,7
보성군,미력면,계,1099,844,620,91,36,35,20
보성군,미력면,관내사전투표,539,539,404,57,21,19,13
보성군,미력면,선거일투표,560,305,216,34,15,16,7
보성군,겸백면,계,839,643,452,85,28,19,25
보성군,겸백면,관내사전투표,410,410,306,41,15,11,17
보성군,겸백면,선거일투표,429,233,146,44,13,8,8
보성군,율어면,계,864,630,436,81,40,12,19
보성군,율어면,관내사전투표,437,437,308,50,29,8,8
보성군,율어면,선거일투표,427,193,128,31,11,4,11
보성군,복내면,계,1182,930,635,90,76,24,31
보성군,복내면,관내사전투표,652,652,448,55,56,16,21
보성군,복내면,선거일투표,530,278,187,35,20,8,10
보성군,문덕면,계,712,534,356,73,38,10,10
보성군,문덕면,관내사전투표,352,352,239,42,24,5,8
보성군,문덕면,선거일투표,360,182,117,31,14,5,2
보성군,조성면,계,2844,2146,1636,210,51,47,44
보성군,조성면,관내사전투표,1404,1404,1093,116,31,26,22
보성군,조성면,선거일투표,1440,742,543,94,20,21,22
보성군,득량면,계,3080,2244,1620,245,64,81,68
보성군,득량면,관내사전투표,1325,1327,988,126,28,41,33
보성군,득량면,선거일투표,1755,917,632,119,36,40,35
보성군,회천면,계,2430,1747,1315,171,63,54,43
보성군,회천면,관내사전투표,921,921,716,67,30,25,17
보성군,회천면,선거일투표,1509,826,599,104,33,29,26
보성군,웅치면,계,929,733,537,69,29,24,21
보성군,웅치면,관내사전투표,495,495,368,42,17,18,14
보성군,웅치면,선거일투표,434,238,169,27,12,6,7
보성군,잘못 투입·구분된 투표지,,0,0,0,0,0,0,0
화순군,화순읍,계,30474,17776,13708,1693,917,689,361
화순군,화순읍,관내사전투표,7191,7188,5854,476,350,264,114
화순군,화순읍,선거일투표,23283,10588,7854,1217,567,425,247
화순군,한천면,계,966,541,384,68,24,26,9
화순군,한천면,관내사전투표,264,264,189,29,12,16,2
화순군,한천면,선거일투표,702,277,195,39,12,10,7
화순군,춘양면,계,1354,816,633,74,29,38,15
화순군,춘양면,관내사전투표,502,496,397,42,12,16,10
화순군,춘양면,선거일투표,852,320,236,32,17,22,5
화순군,청풍면,계,752,492,367,50,16,28,13
화순군,청풍면,관내사전투표,294,294,222,32,11,12,9
화순군,청풍면,선거일투표,458,198,145,18,5,16,4
화순군,이양면,계,1413,892,670,81,24,43,22
화순군,이양면,관내사전투표,578,578,444,46,14,25,12
화순군,이양면,선거일투표,835,314,226,35,10,18,10
화순군,능주면,계,2447,1575,1184,157,69,76,41
화순군,능주면,관내사전투표,910,910,708,75,33,46,22
화순군,능주면,선거일투표,1537,665,476,82,36,30,19
화순군,도곡면,계,2286,1470,1130,145,56,66,22
화순군,도곡면,관내사전투표,874,874,678,77,30,41,15
화순군,도곡면,선거일투표,1412,596,452,68,26,25,7
